insumo_codigo,insumo_nome,data_movimento,deposito_codigo,quantidade,custo,documento,transacao,sinal,sinal_quantidade,nome_transacao,insumo_grupo,insumo_grupo_nome,insumo_subgrupo,insumo_subgrupo_nome
4040004.04      ,"R. MON. CX 2,10 MDF CASTANHO BORDADO              ",2025-07-14,2,1.0000,44.90,28990,14,-1,-1.0000,REQUISICAO                    ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4270027.02      ,R. SOB. DO VIS 3 MM STD CASTANHO LISA C/ VNZ      ,2025-07-14,2,1.0000,1.98,28990,14,-1,-1.0000,REQUISICAO                    ,427,SOBRETAMPOS                             ,2,SOBRETAMPOS PINTADOS                    
8000015         ,LUVA VULCANIZADA LARANJA VULCANO TAM 9 HANDEX     ,2025-07-14,1,250.0000,0.00,41005,1,1,250.0000,COMPRA                        ,800,EPIS                                    ,9,LUVA NITRILICA TAM 9 (CA 33334)         
4030009.02      ,R. MON. TP G. NORMAL MDF CASTANHO LISA C/ VNZ     ,2025-07-14,2,10.0000,193.89,A8008,3,1,10.0000,REPORTE                       ,403,MONTAGEM TAMPA                          ,1,TAMPA MONTADA                           
4030005.02      ,"R. MON. TP 1,90 MDF CASTANHO LISA C/ VNZ          ",2025-07-14,2,30.0000,507.38,A7922,3,1,30.0000,REPORTE                       ,403,MONTAGEM TAMPA                          ,1,TAMPA MONTADA                           
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,7.5000,49.07,28958,14,-1,-7.5000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
4040003.02      ,R. MON. CX STD MDF CASTANHO LISA C/ VNZ           ,2025-07-14,2,75.0000,2974.83,A7856,3,1,75.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,1.0000,6.54,29000,14,-1,-1.0000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,1.0000,6.54,28996,14,-1,-1.0000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
4040003.09      ,R. MON. CX STD MDF BRANCO LISO C/ VNZ             ,2025-07-14,2,10.0000,409.20,A7926,3,1,10.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4040003.06      ,R. MON. CX STD MDF SOMBREADO                      ,2025-07-14,2,100.0000,3981.97,A7925,3,1,100.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4040018.03      ,R. MON. CX STD MDP 15 MM CASTANHO LISA FOSCA      ,2025-07-14,2,15.0000,505.45,A7929,3,1,15.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4040005.02      ,"R. MON. CX 1,90 MDF CASTANHO LISA C/ VNZ          ",2025-07-14,2,23.0000,336.90,A7927,3,1,23.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4270027.02      ,R. SOB. DO VIS 3 MM STD CASTANHO LISA C/ VNZ      ,2025-07-14,2,6.0000,11.86,28999,14,-1,-6.0000,REQUISICAO                    ,427,SOBRETAMPOS                             ,2,SOBRETAMPOS PINTADOS                    
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.2590,1.69,29001,14,-1,-0.2590,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
013.080100040010,I09660 NATURAL COM VISOR                          ,2025-07-14,1,10.0000,586.03,A7933,3,1,10.0000,REPORTE                       ,1,URNAS                                   ,2,URNAS POPULARES                         
2040053         ,CHAPINHA PLASTICA GRANDE                          ,2025-07-14,2,20.0000,3.73,INVENTAR,6,1,20.0000,ENTRADA ACERTO INVENTARIO     ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040053         ,CHAPINHA PLASTICA GRANDE                          ,2025-07-14,2,20.0000,3.73,INVENTAR,6,1,20.0000,ENTRADA ACERTO INVENTARIO     ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
004.080002010211,I09538 URNA 002 ASSISTENCIAL C/VERNIZ AL�A DURA   ,2025-07-14,1,20.0000,1240.61,A7936,3,1,20.0000,REPORTE                       ,1,URNAS                                   ,2,URNAS POPULARES                         
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.1295,0.85,29004,14,-1,-0.1295,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2150002         ,MASSA BA SILKSCREEN AMARELO YL.1299.477RBA        ,2025-07-14,2,0.0355,1.04,29004,14,-1,-0.0355,REQUISICAO                    ,215,TINTAS E VERNIZES                       ,1,SILKSCREEN                              
013.140102050729,"I08346 URNA 020 CX DUPLA 2,15M CASTANHO           ",2025-07-14,1,5.0000,603.96,A7813,3,1,5.0000,REPORTE                       ,1,URNAS                                   ,2,URNAS POPULARES                         
4340072.02      ,R. TPO SEXT. G. COMP. AB CASTANHO LISA C/ VNZ     ,2025-07-14,2,5.0000,46.57,29004,14,-1,-5.0000,REQUISICAO                    ,434,TAMPOES                                 ,2,TAMPOES PINTADOS                        
4040010.02      ,R. MON. CX CAIXA DUPLA MDF CASTANHO LISA C/ VNZ   ,2025-07-14,2,5.0000,286.33,29004,14,-1,-5.0000,REQUISICAO                    ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4270027.02      ,R. SOB. DO VIS 3 MM STD CASTANHO LISA C/ VNZ      ,2025-07-14,2,5.0000,9.89,29004,14,-1,-5.0000,REQUISICAO                    ,427,SOBRETAMPOS                             ,2,SOBRETAMPOS PINTADOS                    
